Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
515,Skipp,Spurs,Midfielder,4.7,27,18,569,0,0,0.72,0.32,0,15,14.909999999999998,0,0,87,1,4,0,2.7755575615628914E-17,-2.7755575615628914E-17,0,1,1.15,0,0,4,CrystalPalace,7,11,0,0,0
516,Son,Spurs,Midfielder,9.2,27,149,1897,13,6,7.54,5.050000000000001,6,30,34.63999999999999,0,18,490,13,207,1,0.49999999999999983,0.8400000000000002,0,3,2.0499999999999994,0,0,48,CrystalPalace,7,11,0,0,7
519,Udogie,Spurs,Defender,4.8,27,66,1851,2,3,2.29,2.0900000000000003,4,33,38.97,0,8,312,8,259,1,0.07000000000000023,0.3800000000000001,0,4,4.119999999999998,0,0,33,CrystalPalace,7,11,0,0,2
520,Vicario,Spurs,Goalkeeper,5.1,27,81,2340,0,0,0,0,5,39,43.76,77,8,497,8,360,0,0,0,0,6,5.6300000000000034,9,1,68,CrystalPalace,7,11,0,0,2
583,Solomon,Spurs,Midfielder,5.3,27,14,196,0,2,0.41000000000000003,0.7499999999999999,0,2,1.79,0,2,53,0,0,0,1.734723475976807E-17,-9.71445146547012E-17,0,0,9.71445146547012E-17,0,0,0,CrystalPalace,7,11,0,0,0
639,Van de Ven,Spurs,Defender,4.5,27,51,1483,1,0,0.35000000000000003,0.21999999999999997,4,20,21.34,0,4,329,6,360,0,-1.3877787807814457E-17,0.1,0,6,5.63,0,0,75,CrystalPalace,7,11,0,0,2
522,N.Aguerd,WestHam,Defender,4.5,27,34,1686,1,0,1.37,0.37000000000000005,2,40,35.18999999999999,0,0,250,1,270,0,0.21000000000000002,0.03000000000000002,0,11,7.250000000000002,0,0,40,Everton,5,9,0,0,0
523,Antonio,WestHam,Forward,5.9,27,40,911,2,2,1.7999999999999998,1.1700000000000002,4,15,19.15,0,4,114,2,99,0,0.05999999999999989,3.469446951953614E-17,0,2,2.6299999999999972,0,0,-2,Everton,5,9,0,0,0
524,Areola,WestHam,Goalkeeper,4.2,27,99,2115,0,0,0,0,4,38,43.68999999999999,103,11,475,19,405,0,0,0,0,12,10.46,28,3,106,Everton,5,9,0,0,13
525,Benrahma,WestHam,Midfielder,5.8,27,20,611,0,1,1.9100000000000001,0.7700000000000001,2,8,12.91,0,0,64,0,0,0,1.2836953722228372E-16,6.418476861114186E-17,0,0,2.220446049250313E-16,0,0,0,Everton,5,9,0,0,0
526,Bowen,WestHam,Midfielder,7.1,27,145,2337,14,3,9.39,2.8999999999999995,5,46,48.32999999999998,0,11,404,31,450,1,1.0099999999999993,0.52,0,14,11.1,0,3,89,Everton,5,9,0,0,5
