Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive
430,Trippier,Newcastle,Defender,6.6,33,108,2163,1,10,0.6500000000000001,6.9,6,41,39,0,20,574,1,51,0,0.07,0.01,0,0,0.27,0,0,5,Spurs,10,6,0,0
433,Wilson,Newcastle,Forward,7.8,33,57,855,7,1,7.499999999999999,0.30999999999999994,5,14,12.010000000000002,0,4,187,0,0,0,0,0,0,0,0,0,0,0,Spurs,10,6,0,0
603,Barnes,Newcastle,Midfielder,6.4,33,45,465,4,2,2.68,1.48,1,6,7.199999999999999,0,3,139,18,133,1,1.46,0.64,0,1,1.9,0,1,64,Spurs,10,6,0,0
23,Tavares,NottmForest,Defender,4,33,10,453,0,0,0.16,0.38,1,9,4.970000000000001,0,0,65,0,0,0,0,0,0,0,0,0,0,0,Wolves,4,7,0,0
28,Turner,NottmForest,Goalkeeper,4,33,41,1530,0,0,0,0,2,28,25.43,55,0,278,-1,0,0,0,0,0,0,0,0,0,-3,Wolves,4,7,0,0
205,Hudson-Odoi,NottmForest,Midfielder,4.9,33,77,1236,5,2,1.77,1.2600000000000002,2,27,19.48,0,11,255,13,282,0,0.5900000000000001,0.14,0,4,4.27,0,0,49,Wolves,4,7,0,0
378,Elanga,NottmForest,Midfielder,5,33,102,2053,5,7,6.05,3.19,2,37,32.96,0,4,324,8,336,0,1.18,0.19,0,3,4.46,0,0,18,Wolves,4,7,0,0
436,Aurier,NottmForest,Defender,4.5,33,27,831,0,2,0.16,0.45,1,15,13.939999999999998,0,3,137,0,0,0,0,0,0,0,0,0,0,0,Wolves,4,7,0,0
437,Awoniyi,NottmForest,Forward,6.6,33,64,1020,6,3,4.85,0.9000000000000001,3,21,15.34,0,5,239,2,43,0,0.02,0.05,0,1,1.03,0,0,7,Wolves,4,7,0,0
439,Boly,NottmForest,Defender,4.5,33,39,1084,1,0,1.37,0.66,3,19,20.24,0,3,199,2,90,0,0.04,0,0,1,0.6,0,0,7,Wolves,4,7,0,0
442,Danilo,NottmForest,Midfielder,5.3,33,42,1208,1,1,0.6500000000000001,0.7000000000000002,1,28,19.92,0,2,198,7,161,1,0.07,0.07,0,3,2.33,0,0,43,Wolves,4,7,0,0
443,Dennis,NottmForest,Forward,4.8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wolves,4,7,0,0
447,Gibbs-White,NottmForest,Midfielder,5.9,33,113,2549,4,9,5.48,5.4799999999999995,5,45,40.140000000000015,0,10,443,30,423,3,0.95,1.71,1,4,5.33,0,6,108,Wolves,4,7,0,0
451,Kouyate,NottmForest,Midfielder,4.9,33,11,204,0,0,0.25,0.04,0,6,5.82,0,0,29,1,3,0,0.01,0,0,0,0,0,0,-1,Wolves,4,7,0,0
453,Mangala,NottmForest,Midfielder,5,33,40,1562,1,0,0.77,0.28,3,31,24.5,0,0,186,0,0,0,0,0,0,0,0,0,0,0,Wolves,4,7,0,0
455,McKenna,NottmForest,Defender,4.5,33,12,416,0,0,0.21,0.17,1,6,5.640000000000001,0,1,64,0,0,0,0,0,0,0,0,0,0,0,Wolves,4,7,0,0
457,Niakhate,NottmForest,Defender,4.5,33,25,1157,1,0,1.3,0.23000000000000004,1,29,24.28,0,1,199,0,0,0,0,0,0,0,0,0,0,0,Wolves,4,7,0,0
467,Williams,NottmForest,Defender,4.4,33,36,1330,0,1,0.36,1.4200000000000002,1,25,19.850000000000005,0,2,185,9,450,0,0.06,0.21000000000000002,0,5,5.800000000000001,0,0,50,Wolves,4,7,0,0
468,Wood,NottmForest,Forward,5,33,102,1207,11,1,6.879999999999999,0.8200000000000001,2,20,18.43,0,19,389,27,344,0,1.4400000000000002,0.52,1,3,3.4699999999999998,0,7,96,Wolves,4,7,0,0
469,Worrall,NottmForest,Defender,4.5,33,13,438,0,0,0.1,0.31,1,9,9.01,0,3,74,0,0,0,0,0,0,0,0,0,0,0,Wolves,4,7,0,0
470,Yates,NottmForest,Midfielder,4.9,33,42,1590,0,0,1.9800000000000004,0.5200000000000001,1,31,25.13000000000001,0,1,168,10,431,0,0.13999999999999999,0.09,0,5,5.76,0,0,53,Wolves,4,7,0,0
604,Aina,NottmForest,Defender,4.5,33,38,1152,1,1,0.18000000000000002,0.4800000000000001,2,26,21.090000000000003,0,2,185,4,165,0,0.01,0.05,0,2,2.59,0,0,23,Wolves,4,7,0,0
679,G.Montiel,NottmForest,Defender,4.5,33,20,495,0,2,0.09,0.27,1,7,6.200000000000001,0,3,110,0,0,0,0,0,0,0,0,0,0,0,Wolves,4,7,0,0
