Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
94,Janelt,Brentford,Midfielder,4.9,6,11,380,0,0,0.07,0.2,1,8,8.66,0,0,60,11,380,0,0.07,0.2,1,8,8.66,0,0,60,WestHam,6,10,5,8,2
95,Jensen,Brentford,Midfielder,5.3,6,9,238,0,1,0.1,0.45999999999999996,0,3,4.17,0,1,39,9,238,1,0.1,0.45999999999999996,0,3,4.17,0,1,39,WestHam,6,10,5,8,0
97,Konak,Brentford,Midfielder,4.5,6,1,11,0,0,0,0,0,1,0.51,0,0,3,1,11,0,0,0,0,1,0.51,0,0,3,WestHam,6,10,5,8,1
98,Lewis-Potter,Brentford,Midfielder,5,6,11,276,0,1,0.1,0.21,0,7,8.88,0,0,49,11,276,1,0.1,0.21,0,7,8.88,0,0,49,WestHam,6,10,5,8,1
99,Mbeumo,Brentford,Midfielder,7.5,6,34,449,4,0,1.7600000000000002,1.2800000000000002,0,9,11.08,0,6,148,34,449,0,1.7600000000000002,1.2800000000000002,0,9,11.08,0,6,148,WestHam,6,10,5,8,9
100,Mee,Brentford,Defender,4.3,6,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,3,WestHam,6,10,5,8,0
101,Norgaard,Brentford,Midfielder,4.8,6,7,360,0,0,0.37,0.07,0,6,7.56,0,0,62,7,360,0,0.37,0.07,0,6,7.56,0,0,62,WestHam,6,10,5,8,0
102,Onyeka,Brentford,Midfielder,4.9,6,2,23,0,0,0,0.02,0,0,0.6900000000000001,0,0,3,2,23,0,0,0.02,0,0,0.6900000000000001,0,0,3,WestHam,6,10,5,8,0
104,Pinnock,Brentford,Defender,4.5,6,4,450,0,0,0.23,0.04,0,9,11.08,0,0,32,4,450,0,0.23,0.04,0,9,11.08,0,0,32,WestHam,6,10,5,8,2
105,Roerslev,Brentford,Defender,4.4,6,6,260,0,0,0.01,0.18,0,5,6.119999999999999,0,0,7,6,260,0,0.01,0.18,0,5,6.119999999999999,0,0,7,WestHam,6,10,5,8,0
106,Schade,Brentford,Midfielder,5.3,6,11,236,0,1,0.42,0.03,1,2,3.67,0,0,28,11,236,1,0.42,0.03,1,2,3.67,0,0,28,WestHam,6,10,5,8,1
110,Wissa,Brentford,Forward,5.9,6,28,290,3,1,2.4299999999999997,0.27,0,6,5.38,0,7,121,28,290,1,2.4299999999999997,0.27,0,6,5.38,0,7,121,WestHam,6,10,5,8,0
111,Yarmoliuk,Brentford,Midfielder,4.4,6,3,68,0,0,0.04,0.01,0,2,3.01,0,0,15,3,68,0,0.04,0.01,0,2,3.01,0,0,15,WestHam,6,10,5,8,0
314,Carvalho,Brentford,Midfielder,4.8,6,6,142,0,0,0.08,0.35000000000000003,0,5,6.25,0,0,31,6,142,0,0.08,0.35000000000000003,0,5,6.25,0,0,31,WestHam,6,10,5,8,6
338,Van den Berg,Brentford,Defender,4,6,3,195,0,0,0,0.22,0,6,6.220000000000001,0,0,11,3,195,0,0,0.22,0,6,6.220000000000001,0,0,11,WestHam,6,10,5,8,2
602,Trevitt,Brentford,Midfielder,4.5,6,1,3,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,5,WestHam,6,10,5,8,0
113,Adingra,Brighton,Midfielder,5.4,6,14,134,1,1,0.32000000000000006,0.6500000000000001,0,1,1.31,0,0,45,14,134,1,0.32000000000000006,0.6500000000000001,0,1,1.31,0,0,45,Chelsea,15,7,15,5,0
115,Baleba,Brighton,Midfielder,5,6,7,258,0,0,0.41000000000000003,0.08,1,2,3.39,0,0,40,7,258,0,0.41000000000000003,0.08,1,2,3.39,0,0,40,Chelsea,15,7,15,5,12
120,Dunk,Brighton,Defender,4.5,6,16,435,0,0,0.16,0.28,2,4,5.84,0,0,82,16,435,0,0.16,0.28,2,4,5.84,0,0,82,Chelsea,15,7,15,5,-1
121,Enciso,Brighton,Midfielder,5.4,6,3,39,0,0,0.08,0.12,0,0,0.24000000000000002,0,0,14,3,39,0,0.08,0.12,0,0,0.24000000000000002,0,0,14,Chelsea,15,7,15,5,1
122,Estupinan,Brighton,Defender,5,6,2,99,0,0,0.06,0.24000000000000002,0,2,2.4699999999999998,0,0,13,2,99,0,0.06,0.24000000000000002,0,2,2.4699999999999998,0,0,13,Chelsea,15,7,15,5,-1
123,Ferguson,Brighton,Forward,5.5,6,2,13,0,0,0.11,0,0,0,0,0,0,4,2,13,0,0.11,0,0,0,0,0,0,4,Chelsea,15,7,15,5,1
124,Gilmour,Brighton,Midfielder,5,6,3,97,0,0,0.08,0.04,0,1,1.32,0,0,21,3,97,0,0.08,0.04,0,1,1.32,0,0,21,Chelsea,15,7,15,5,0
126,Hinshelwood,Brighton,Midfielder,5,6,19,426,1,0,0.32,0.6,2,4,5.7,0,3,86,19,426,0,0.32,0.6,2,4,5.7,0,3,86,Chelsea,15,7,15,5,2
128,Igor,Brighton,Defender,4.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea,15,7,15,5,1
129,Joao Pedro,Brighton,Forward,5.5,6,19,280,2,0,0.9000000000000001,0.26,1,2,3.96,0,5,87,19,280,0,0.9000000000000001,0.26,1,2,3.96,0,5,87,Chelsea,15,7,15,5,0
134,Milner,Brighton,Midfielder,5,6,5,169,0,0,0.16,0.15,1,1,1.98,0,0,24,5,169,0,0.16,0.15,1,1,1.98,0,0,24,Chelsea,15,7,15,5,0
135,Minteh,Brighton,Midfielder,5.4,6,13,300,0,2,0.48000000000000004,1.1600000000000001,1,3,3.58,0,0,45,13,300,2,0.48000000000000004,1.1600000000000001,1,3,3.58,0,0,45,Chelsea,15,7,15,5,1
136,Mitoma,Brighton,Midfielder,6.6,6,24,441,1,2,1.6600000000000001,1,2,4,5.73,0,1,84,24,441,2,1.6600000000000001,1,2,4,5.73,0,1,84,Chelsea,15,7,15,5,2
141,Sarmiento,Brighton,Midfielder,4.9,6,1,8,0,0,0,0,0,0,0,0,0,3,1,8,0,0,0,0,0,0,0,0,3,Chelsea,15,7,15,5,0
142,Steele,Brighton,Goalkeeper,4.4,6,9,180,0,0,0,0,1,1,1.88,3,1,46,9,180,0,0,0,1,1,1.88,3,1,46,Chelsea,15,7,15,5,0
