Name,Team,Position,Goals,Assists,Clean Sheets,Goals Conceded
Varane,Defender,Man Utd,0,0,2,2
Vardy,Forward,Leicester,0,2,1,9
Antonio,Forward,West Ham,1,1,1,5
Billing,Midfielder,Bournemouth,1,0,2,10
De Cordova-Reid,Midfielder,Fulham,1,0,1,8
Eriksen,Midfielder,Man Utd,0,1,2,8
Henry,Defender,Brentford,0,1,1,9
Joelinton,Midfielder,Newcastle,0,1,3,6
Matheus,Midfielder,Wolves,0,1,2,2
Robertson,Defender,Liverpool,0,1,1,6
Stones,Defender,Man City,0,2,1,6
Targett,Defender,Newcastle,0,0,2,2
Tete,Defender,Fulham,0,2,1,8
Tielemans,Midfielder,Leicester,0,1,0,14
Zouma,Defender,West Ham,0,0,1,8
Aké,Defender,Man City,0,0,2,0
Aribo,Midfielder,Southampton,1,0,0,7
Buendía,Midfielder,Aston Villa,1,0,0,7
Cook,Midfielder,Bournemouth,0,1,1,13
Guaita,Goalkeeper,Crystal Palace,0,0,1,9
Iwobi,Midfielder,Everton,0,1,1,6
Lingard,Midfielder,Nottm Forest,0,1,2,5
Neto,Midfielder,Wolves,0,0,4,3
Nørgaard,Midfielder,Brentford,1,0,1,6
R.Sessegnon,Defender,Spurs,1,1,0,3
Tarkowski,Defender,Everton,0,0,1,6
Walker-Peters,Defender,Southampton,1,0,0,10
Willock,Midfielder,Newcastle,0,0,3,6
Álvarez,Forward,Man City,2,0,1,0
Awoniyi,Forward,Nottm Forest,1,0,2,5
Daka,Forward,Leicester,1,1,0,9
Havertz,Forward,Chelsea,1,0,1,7
Koulibaly,Defender,Chelsea,1,0,1,8
Llorente,Defender,Leeds,0,0,1,10
Martínez,Defender,Man Utd,0,0,2,8
Moore,Forward,Bournemouth,1,0,1,16
Mount,Midfielder,Chelsea,0,1,1,8
Mykolenko,Defender,Everton,0,0,1,6
Palhinha,Midfielder,Fulham,1,0,1,9
Patterson,Defender,Everton,0,0,1,6
Sánchez,Defender,Spurs,0,0,2,1
Tavernier,Midfielder,Bournemouth,0,0,2,18
Wilson,Forward,Newcastle,2,0,2,3
Aït-Nouri,Defender,Wolves,0,0,2,3
Bazunu,Goalkeeper,Southampton,0,0,0,10
Bowen,Midfielder,West Ham,0,0,1,8
Coufal,Defender,West Ham,0,0,1,8
Djenepo,Midfielder,Southampton,0,1,0,8
Douglas Luiz,Midfielder,Aston Villa,1,0,1,2
Gibbs-White,Midfielder,Nottm Forest,0,1,1,12
Guedes,Midfielder,Wolves,0,1,2,1
Iheanacho,Forward,Leicester,1,1,0,7
Kebano,Midfielder,Fulham,0,1,1,4
Koch,Defender,Leeds,0,0,1,10
Lavia,Midfielder,Southampton,1,0,0,9
S.Longstaff,Midfielder,Newcastle,0,1,1,3
Schlupp,Midfielder,Crystal Palace,0,0,2,8
Ayew,Midfielder,Crystal Palace,0,0,1,8
Barnes,Midfielder,Leicester,1,0,0,6
Cucurella,Defender,Chelsea,0,2,0,9
Estupiñán,Defender,Brighton,0,1,1,2
Holgate,Defender,Everton,0,0,1,4
Kouyaté,Midfielder,Nottm Forest,1,0,0,9
Mepham,Defender,Bournemouth,0,0,2,17
N.Williams,Defender,Nottm Forest,0,1,1,14
Ream,Defender,Fulham,0,0,1,9
Toffolo,Defender,Nottm Forest,0,0,1,6
Tosin,Defender,Fulham,0,0,1,9
Adams,Midfielder,Leeds,0,0,1,10
Anthony,Midfielder,Bournemouth,1,0,0,10
Azpilicueta,Defender,Chelsea,0,0,1,4
Bella-Kotchap,Defender,Southampton,0,1,0,6
Cresswell,Defender,West Ham,0,0,1,6
Fabinho,Midfielder,Liverpool,0,0,2,3
Ings,Forward,Aston Villa,1,0,1,3
Kamara,Midfielder,Aston Villa,0,0,0,10
Kristensen,Defender,Leeds,0,0,1,5
Mahrez,Midfielder,Man City,0,1,1,3
Milner,Midfielder,Liverpool,0,1,0,4
Mwepu,Midfielder,Brighton,0,1,0,4
Ndidi,Midfielder,Leicester,0,0,0,14
Onana,Midfielder,Everton,0,1,2,3
Perraud,Defender,Southampton,0,1,0,2
Ramsey,Midfielder,Aston Villa,0,1,0,9
Reed,Midfielder,Fulham,0,0,1,9
Richarlison,Forward,Spurs,0,2,0,2
Baptiste,Midfielder,Brentford,0,1,0,3
Bentancur,Midfielder,Spurs,0,0,2,4
Castagne,Defender,Leicester,1,0,0,13
Christie,Midfielder,Bournemouth,0,0,1,10
Edouard,Forward,Crystal Palace,0,1,0,5
Elanga,Midfielder,Man Utd,0,1,1,0
Guéhi,Defender,Crystal Palace,0,0,1,9
Leno,Goalkeeper,Fulham,0,0,0,7
