Name,Team,Position,Price,Points,Goals,Assists,Clean Sheets,Goals Conceded
Caballero,Goalkeeper,Southampton,4.0,0,0,0,0,0
Caleta-Car,Defender,Southampton,4.5,0,0,0,0,0
Calvert-Lewin,Forward,Everton,7.9,0,0,0,0,0
Canos,Defender,Brentford,5.0,0,0,0,0,0
Carson,Goalkeeper,Man City,3.9,0,0,0,0,0
Cavaleiro,Midfielder,Fulham,4.8,0,0,0,0,0
Chamberlain,Midfielder,Liverpool,4.9,0,0,0,0,0
Chambers,Defender,Liverpool,4.0,0,0,0,0,0
Chiquinho,Midfielder,Wolves,5.0,0,0,0,0,0
Choudhury,Midfielder,Leicester,4.5,0,0,0,0,0
Chukwuemeka,Midfielder,Chelsea,4.3,0,0,0,0,0
Clark,Defender,Newcastle,4.5,0,0,0,0,0
Clarke,Defender,Brighton,4.0,0,0,0,0,0
Coleman,Defender,Everton,4.5,0,0,0,0,0
Cooper,Defender,Leeds,4.4,0,0,0,0,0
Cundle,Midfielder,Wolves,4.4,0,0,0,0,0
Cedric,Defender,Arsenal,4.2,0,0,0,0,0
Dallas,Defender,Leeds,4.9,0,0,0,0,0
Darlow,Goalkeeper,Newcastle,4.0,0,0,0,0,0
Davies,Defender,Liverpool,4.0,0,0,0,0,0
Davis,Forward,Aston Villa,5.4,0,0,0,0,0
Dawson,Defender,West Ham,4.8,0,0,0,0,0
Delap,Forward,Man City,4.4,0,0,0,0,0
Dembele,Midfielder,Bournemouth,4.8,0,0,0,0,0
