Name,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Foden,6,11,86,1,0,0.1,0.04,1,0,0.95,0,3,41
Grealish,6,0,3,0,0,0,0,0,0,0.08,0,0,-1
Haaland,6,6,90,1,0,0.69,0.01,1,0,1.03,0,0,24
Kovačic,6,0,0,0,0,0,0,0,0,0,0,0,0
R.Lewis,6,0,0,0,0,0,0,0,0,0,0,0,0
Palmer,6,1,22,0,0,0.18,0.04,0,1,0.71,0,0,5
Rodrigo,6,-2,45,0,0,0,0.24,0,0,1.92,0,0,1
Sergio Gomez,6,0,0,0,0,0,0,0,0,0,0,0,0
Stones,6,0,0,0,0,0,0,0,0,0,0,0,0
Walker,6,11,90,0,1,0,0.08,1,0,1.03,0,2,31
Antony,6,0,0,0,0,0,0,0,0,0,0,0,0
B.Fernandes,6,10,90,1,0,0.32,0.21,1,0,1.12,0,2,30
Casemiro,6,3,90,0,0,0.02,0.03,1,0,1.12,0,0,14
Dalot,6,6,90,0,0,0,0.09,1,0,1.12,0,1,29
Elanga,6,1,34,0,0,0.07,0.04,0,0,0.55,0,0,4
Eriksen,6,0,0,0,0,0,0,0,0,0,0,0,0
Garnacho,6,0,0,0,0,0,0,0,0,0,0,0,0
Lindelof,6,6,90,0,0,0,0.01,1,0,1.12,0,0,26
Maguire,6,0,0,0,0,0,0,0,0,0,0,0,0
Malacia,6,0,0,0,0,0,0,0,0,0,0,0,0
Martial,6,0,0,0,0,0,0,0,0,0,0,0,0
L.Martinez,6,0,0,0,0,0,0,0,0,0,0,0,0
McTominay,6,3,90,0,0,0.04,0.01,1,0,1.12,0,0,13
R.Varane,6,1,11,0,0,0,0,0,0,0.31,0,0,4
Rashford,6,3,90,0,0,0.33,0.08,1,0,1.12,0,0,10
Sancho,6,0,0,0,0,0,0,0,0,0,0,0,0
Shaw,6,0,0,0,0,0,0,0,0,0,0,0,0
Wan-Bissaka,6,0,0,0,0,0,0,0,0,0,0,0,0
Almiron,6,8,69,1,0,0.38,0.03,1,0,0.73,0,0,21
Anderson,6,6,90,0,1,0.1,0.09,1,0,0.94,0,0,27
Botman,6,12,90,1,0,0.05,0.01,1,0,0.94,0,0,40
Bruno G.,6,13,80,1,1,0.29,0.27,1,0,0.84,0,2,52
Burn,6,12,90,1,0,0.35,0.05,1,0,0.94,0,0,42
Isak,6,5,20,1,0,0.61,0.02,0,0,0.21,0,0,27
Joelinton,6,0,0,0,0,0,0,0,0,0,0,0,0
Longstaff,6,11,90,1,1,0.37,0.04,1,0,0.94,0,0,40
Pope,6,6,90,0,0,0,0,1,0,0.94,1,0,24
Schar,6,6,90,0,0,0.02,0.01,1,0,0.94,0,0,26
Targett,6,0,0,0,0,0,0,0,0,0,0,0,0
Tonali,6,1,20,0,0,0,0.22,0,0,0.21,0,0,14
Trippier,6,18,69,0,3,0,0.68,1,0,0.73,0,3,67
Wilson,6,6,69,1,0,1.17,0.01,1,0,0.73,0,0,20
Aurier,6,0,55,0,0,0,0.01,0,2,0.78,0,0,6
Awoniyi,6,1,74,0,0,0.49,0.03,0,2,0.78,0,0,-1
Boly,6,1,90,0,0,0.04,0.28,0,2,1.33,0,0,19
Danilo,6,0,0,0,0,0,0,0,0,0,0,0,0
Dennis,6,0,0,0,0,0,0,0,0,0,0,0,0
Gibbs-White,6,1,90,0,0,0.26,0.08,0,2,1.33,0,0,6
Kouyate,6,0,0,0,0,0,0,0,0,0,0,0,0
Mangala,6,1,90,0,0,0.06,0.01,0,2,1.33,0,0,7
McKenna,6,0,0,0,0,0,0,0,0,0,0,0,0
Niakhate,6,1,90,0,0,0,0.02,0,2,1.33,0,0,14
Williams,6,0,0,0,0,0,0,0,0,0,0,0,0
Wood,6,1,15,0,0,0,0.01,0,0,0.55,0,0,3
Worrall,6,0,0,0,0,0,0,0,0,0,0,0,0
Yates,6,0,0,0,0,0,0,0,0,0,0,0,0
Ahmedhodzic,6,-3,90,0,0,0.11,0.04,0,8,3.94,0,0,11
Baldock,6,0,0,0,0,0,0,0,0,0,0,0,0
Basham,6,1,15,0,0,0,0.05,0,1,0.87,0,0,5
Berge,6,1,17,0,0,0.21,0.01,0,0,0.42,0,0,3
Bogle,6,0,45,0,0,0,0.02,0,3,1.34,0,0,6
Egan,6,-3,90,0,0,0,0,0,8,3.94,0,0,9
Fleck,6,0,0,0,0,0,0,0,0,0,0,0,0
Foderingham,6,0,90,0,0,0,0,0,8,3.94,7,0,21
McBurnie,6,0,0,0,0,0,0,0,0,0,0,0,0
Norwood,6,2,61,0,0,0,0.01,0,5,2.45,0,0,11
Osborn,6,0,0,0,0,0,0,0,0,0,0,0,0
Osula,6,0,0,0,0,0,0,0,0,0,0,0,0
Bentancur,6,0,0,0,0,0,0,0,0,0,0,0,0
Bissouma,6,1,90,0,0,0.05,0.01,0,2,2.08,0,0,8
Davies,6,0,0,0,0,0,0,0,0,0,0,0,0
E.Royal,6,0,0,0,0,0,0,0,0,0,0,0,0
Hojbjerg,6,1,12,0,0,0,0,0,0,0.18,0,0,3
Kulusevski,6,2,90,0,0,0,0.16,0,2,2.08,0,0,6
Lo Celso,6,0,0,0,0,0,0,0,0,0,0,0,0
Maddison,6,9,77,0,2,0.03,0.22,0,2,1.91,0,1,28
Pedro Porro,6,1,90,0,0,0,0.01,0,2,2.08,0,0,10
Perisic,6,0,0,0,0,0,0,0,0,0,0,0,0
Reguilon,6,5,78,0,0,0,0.21,1,0,0.81,0,0,14
Richarlison,6,1,11,0,0,0.18,0,0,0,0.18,0,0,0
Romero,6,-2,90,0,0,0,0.07,0,2,2.08,0,0,5
Sarr,6,1,90,0,0,0.1,0.01,0,2,2.08,0,0,4
Skipp,6,0,0,0,0,0,0,0,0,0,0,0,0
Son,6,14,78,2,0,0.5,0.35,0,2,1.91,0,2,44
Udogie,6,0,90,0,0,0,0,0,2,2.08,0,0,-1
Vicario,6,2,90,0,0,0,0,0,2,2.08,4,0,20
N.Aguerd,6,1,90,0,0,0.04,0.01,0,3,3.06,0,0,8
Antonio,6,2,73,0,0,0.12,0.01,0,2,2.33,0,0,-3
Areola,6,2,90,0,0,0,0,0,3,3.06,4,0,17
Benrahma,6,0,0,0,0,0,0,0,0,0,0,0,0
Bowen,6,7,90,1,0,0.55,0.01,0,3,3.06,0,0,22
Cornet,6,0,0,0,0,0,0,0,0,0,0,0,0
