Id,Name,Team,Position,Price,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
117,Toney,Brentford,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NottmForest,6,7,0,0,0
119,Wissa,Brentford,Forward,0,29,599,2,1,3.1799999999999997,0.17,1,10,7.939999999999999,0,5,84,29,599,1,3.1799999999999997,0.17,1,10,7.939999999999999,0,5,84,NottmForest,6,7,0,0,2
258,Maupay,Brentford,Forward,0,5,143,0,0,1.77,0.04,1,2,1.56,0,0,0,5,143,0,1.77,0.04,1,2,1.56,0,0,0,NottmForest,6,7,0,0,1
122,Adingra,Brighton,Midfielder,0,16,234,1,1,0.38,0.3,0,7,4.68,0,0,55,16,234,1,0.38,0.3,0,7,4.68,0,0,55,AstonVilla,11,5,0,0,1
128,Dahoud,Brighton,Midfielder,0,11,244,0,1,0.11000000000000001,0.30000000000000004,1,3,2.6,0,0,48,11,244,1,0.11000000000000001,0.30000000000000004,1,3,2.6,0,0,48,AstonVilla,11,5,0,0,0
129,Dunk,Brighton,Defender,0,8,630,0,0,0.5800000000000001,0.86,0,14,12.050000000000002,0,0,95,8,630,0,0.5800000000000001,0.86,0,14,12.050000000000002,0,0,95,AstonVilla,11,5,0,0,-2
130,Enciso,Brighton,Midfielder,0,8,68,0,2,0.2,0.58,0,1,2.02,0,0,30,8,68,2,0.2,0.58,0,1,2.02,0,0,30,AstonVilla,11,5,0,0,0
131,Estupinan,Brighton,Defender,0,25,495,1,3,0.9,1.4700000000000002,0,10,10.660000000000002,0,5,112,25,495,3,0.9,1.4700000000000002,0,10,10.660000000000002,0,5,112,AstonVilla,11,5,0,0,-2
132,Ferguson,Brighton,Forward,0,28,300,4,0,2.68,0.44,1,8,7.1,0,3,104,28,300,0,2.68,0.44,1,8,7.1,0,3,104,AstonVilla,11,5,0,0,1
133,Gilmour,Brighton,Midfielder,0,24,434,0,3,0.26,1.09,1,11,9.07,0,4,112,24,434,3,0.26,1.09,1,11,9.07,0,4,112,AstonVilla,11,5,0,0,2
134,Gross,Brighton,Midfielder,0,26,438,2,0,0.99,1.01,1,6,8.48,0,6,112,26,438,0,0.99,1.01,1,6,8.48,0,6,112,AstonVilla,11,5,0,0,0
135,Joao Pedro,Brighton,Forward,0,22,324,2,1,1.9500000000000002,1.29,1,7,5.85,0,3,91,22,324,1,1.9500000000000002,1.29,1,7,5.85,0,3,91,AstonVilla,11,5,0,0,4
138,Lallana,Brighton,Midfielder,0,5,111,0,0,0,0.060000000000000005,1,2,2.53,0,0,13,5,111,0,0,0.060000000000000005,1,2,2.53,0,0,13,AstonVilla,11,5,0,0,0
139,Lamptey,Brighton,Defender,0,8,137,0,2,0.02,0.08,0,5,1.97,0,0,45,8,137,2,0.02,0.08,0,5,1.97,0,0,45,AstonVilla,11,5,0,0,0
140,March,Brighton,Midfielder,0,31,375,3,0,1.93,0.53,2,7,7.26,0,4,91,31,375,0,1.93,0.53,2,7,7.26,0,4,91,AstonVilla,11,5,0,0,2
142,Milner,Brighton,Midfielder,0,6,227,0,0,0,0.26,1,4,4.59,0,0,36,6,227,0,0,0.26,1,4,4.59,0,0,36,AstonVilla,11,5,0,0,0
143,Mitoma,Brighton,Midfielder,0,40,575,3,3,1.7600000000000002,1.97,0,13,11.42,0,6,128,40,575,3,1.7600000000000002,1.97,0,13,11.42,0,6,128,AstonVilla,11,5,0,0,1
148,Steele,Brighton,Goalkeeper,0,8,360,0,0,0,0,0,9,6.05,13,0,75,8,360,0,0,0,0,9,6.05,13,0,75,AstonVilla,11,5,0,0,0
150,Van Hecke,Brighton,Defender,0,5,270,0,0,0.02,0.02,0,3,3.71,0,0,49,5,270,0,0.02,0.02,0,3,3.71,0,0,49,AstonVilla,11,5,0,0,0
151,Veltman,Brighton,Defender,0,10,422,0,1,0.07,0.2,0,11,7.93,0,0,90,10,422,1,0.07,0.2,0,11,7.93,0,0,90,AstonVilla,11,5,0,0,-1
152,Verbruggen,Brighton,Goalkeeper,0,6,270,0,0,0,0,0,5,6,8,0,41,6,270,0,0,0,0,5,6,8,0,41,AstonVilla,11,5,0,0,0
153,Webster,Brighton,Defender,0,3,360,0,0,0.1,0.08,0,11,8.34,0,0,63,3,360,0,0.1,0.08,0,11,8.34,0,0,63,AstonVilla,11,5,0,0,-1
154,Welbeck,Brighton,Forward,0,13,362,1,0,1.07,0.37000000000000005,2,6,5.9,0,1,39,13,362,0,1.07,0.37000000000000005,2,6,5.9,0,1,39,AstonVilla,11,5,0,0,0
700,Ansu Fati,Brighton,Midfielder,0,7,116,1,0,1.87,0.1,0,4,1.58,0,0,13,7,116,0,1.87,0.1,0,4,1.58,0,0,13,AstonVilla,11,5,0,0,5
157,Al-Dakhil,Burnley,Defender,0,9,630,0,0,0.19,0.48000000000000004,0,16,13.12,0,0,74,9,630,0,0.19,0.48000000000000004,0,16,13.12,0,0,74,Newcastle,11,6,0,0,3
159,Benson,Burnley,Midfielder,0,3,65,0,0,0.03,0.01,0,3,3.09,0,0,8,3,65,0,0.03,0.01,0,3,3.09,0,0,8,Newcastle,11,6,0,0,0
160,Beyer,Burnley,Defender,0,6,503,0,0,0,0.03,0,12,9.2,0,1,88,6,503,0,0,0.03,0,12,9.2,0,1,88,Newcastle,11,6,0,0,2
161,Brownhill,Burnley,Midfielder,0,14,401,1,0,0.45999999999999996,0.8500000000000001,0,8,7.3,0,0,71,14,401,0,0.45999999999999996,0.8500000000000001,0,8,7.3,0,0,71,Newcastle,11,6,0,0,4
163,Cork,Burnley,Midfielder,0,1,16,0,0,0,0.01,0,0,0.13,0,0,2,1,16,0,0,0.01,0,0,0.13,0,0,2,Newcastle,11,6,0,0,0
165,Cullen,Burnley,Midfielder,0,15,630,0,1,0.08,0.81,0,16,13.12,0,0,100,15,630,1,0.08,0.81,0,16,13.12,0,0,100,Newcastle,11,6,0,0,4
168,Foster,Burnley,Forward,0,26,429,3,1,1.4300000000000002,0.13999999999999999,1,12,8.719999999999999,0,4,86,26,429,1,1.4300000000000002,0.13999999999999999,1,12,8.719999999999999,0,4,86,Newcastle,11,6,0,0,9
170,Gudmundsson,Burnley,Midfielder,0,7,171,0,1,0,0.24000000000000002,0,4,2.5200000000000005,0,0,29,7,171,1,0,0.24000000000000002,0,4,2.5200000000000005,0,0,29,Newcastle,11,6,0,0,0
173,O'Shea,Burnley,Defender,0,2,270,0,0,0.04,0.02,0,11,6.99,0,0,48,2,270,0,0.04,0.02,0,11,6.99,0,0,48,Newcastle,11,6,0,0,0
176,Roberts,Burnley,Defender,0,10,627,0,1,0,0.31000000000000005,0,16,13.059999999999999,0,0,90,10,627,1,0,0.31000000000000005,0,16,13.059999999999999,0,0,90,Newcastle,11,6,0,0,5
177,Rodriguez,Burnley,Forward,0,4,68,0,0,0.56,0,0,2,1.9,0,0,4,4,68,0,0.56,0,0,2,1.9,0,0,4,Newcastle,11,6,0,0,2
178,Taylor,Burnley,Defender,0,5,360,0,0,0.02,0.1,0,5,6.13,0,0,46,5,360,0,0.02,0.1,0,5,6.13,0,0,46,Newcastle,11,6,0,0,1
182,Vitinho,Burnley,Defender,0,2,92,0,0,0.01,0.06,0,3,2.26,0,0,10,2,92,0,0.01,0.06,0,3,2.26,0,0,10,Newcastle,11,6,0,0,1
475,Berge,Burnley,Midfielder,0,15,422,0,1,0.28,0.15,0,11,10.42,0,2,60,15,422,1,0.28,0.15,0,11,10.42,0,2,60,Newcastle,11,6,0,0,9
594,Amdouni,Burnley,Forward,0,17,464,1,0,1.3199999999999998,0.25,1,11,8.72,0,2,49,17,464,0,1.3199999999999998,0.25,1,11,8.72,0,2,49,Newcastle,11,6,0,0,2
596,Trafford,Burnley,Goalkeeper,0,15,630,0,0,0,0,0,16,13.12,26,0,128,15,630,0,0,0,0,16,13.12,26,0,128,Newcastle,11,6,0,0,5
600,Redmond,Burnley,Midfielder,0,3,53,0,0,0,0.26,0,2,1.34,0,0,10,3,53,0,0,0.26,0,2,1.34,0,0,10,Newcastle,11,6,0,0,0
605,Koleosho,Burnley,Midfielder,0,17,472,0,1,0.33999999999999997,0.77,1,13,9.3,0,0,40,17,472,1,0.33999999999999997,0.77,1,13,9.3,0,0,40,Newcastle,11,6,0,0,4
608,Bruun Larsen,Burnley,Midfielder,0,11,124,1,0,0.36,0.09000000000000001,0,3,3.3899999999999997,0,0,35,11,124,0,0.36,0.09000000000000001,0,3,3.3899999999999997,0,0,35,Newcastle,11,6,0,0,7
674,Delcroix,Burnley,Defender,0,2,139,0,0,0.35,0.04,0,6,3.84,0,0,24,2,139,0,0.35,0.04,0,6,3.84,0,0,24,Newcastle,11,6,0,0,1
675,A.Ramsey,Burnley,Midfielder,0,6,179,0,0,0.05,0.44,0,3,2.97,0,0,23,6,179,0,0.05,0.44,0,3,2.97,0,0,23,Newcastle,11,6,0,0,3
126,Caicedo,Chelsea,Midfielder,0,11,363,0,0,0.14,0.12,2,3,3.73,0,0,53,11,363,0,0.14,0.12,2,3,3.73,0,0,53,Fulham,4,10,0,0,3
145,Sanchez,Chelsea,Goalkeeper,0,33,630,0,0,0,0,3,6,7.53,19,4,148,33,630,0,0,0,3,6,7.53,19,4,148,Fulham,4,10,0,0,7
194,Chalobah,Chelsea,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fulham,4,10,0,0,0
195,Chilwell,Chelsea,Defender,0,15,334,0,1,0.85,1.27,1,5,4.08,0,2,66,15,334,1,0.85,1.27,1,5,4.08,0,2,66,Fulham,4,10,0,0,0
